Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,63360234,8116.54016237723,3854588,491420,1475825,189.0553763602,70066,10028,
United States,Americas,13385755,40440.02,1108921,151204,266043,803.75,10193,1235,Community transmission
India,South-East Asia,9499413,6883.61,277197,36604,138122,100.09,3423,501,Clusters of cases
Brazil,Americas,6335878,29807.56,248270,21138,173120,814.45,3635,287,Community transmission
Russian Federation,Europe,2347401,16085.31,184898,25345,41053,281.31,3515,589,Clusters of cases
France,Europe,2191274,33570.65,75496,7999,53146,814.2,3258,775,Community transmission
Spain,Europe,1656444,35428.34,48784,3643,45511,973.4,1055,60,Community transmission
United Kingdom,Europe,1643090,24203.66,104292,13429,59051,869.86,3213,603,Community transmission
Italy,Europe,1620901,26808.67,165879,19347,56361,932.17,5055,785,Clusters of cases
Argentina,Americas,1424533,31519.16,49902,5726,38730,856.94,1608,257,Community transmission
Colombia,Americas,1316806,25879.15,61827,8430,36766,722.56,1287,182,Community transmission
Mexico,Americas,1113543,8636.62,64185,6472,105940,821.67,4014,285,Community transmission
Germany,Europe,1084743,12946.91,123423,17270,17123,204.37,2352,487,Clusters of cases
Poland,Europe,999924,26420.44,90858,9113,17599,465.01,3285,449,Community transmission
Iran,Eastern Mediterranean,975951,11619.44,95409,13881,48628,578.95,2890,382,Community transmission
Peru,Americas,963605,29225.08,13048,1075,35966,1090.81,325,43,Community transmission
South Africa,Africa,792299,13358.9,20047,2295,21644,364.94,561,109,Community transmission
Ukraine,Europe,758264,17338.18,96406,13141,12717,290.78,1225,169,Community transmission
Belgium,Europe,579116,49968.49,10658,1,16786,1448.36,662,9,Community transmission
Iraq,Eastern Mediterranean,554767,13792.46,15018,2218,12306,305.95,275,48,Community transmission
Chile,Americas,552864,28921.23,9777,1121,15430,807.17,299,20,Community transmission
Indonesia,South-East Asia,543975,1988.77,37673,5092,17081,62.45,970,136,Community transmission
Czechia,Europe,528474,49348.67,25940,5176,8407,785.04,908,112,Community transmission
Netherlands,Europe,526877,30748.81,33735,4042,9425,550.05,402,62,Community transmission
Turkey,Europe,506966,6011.05,46050,6101,13936,165.24,1264,190,Community transmission
Romania,Europe,479634,24931.99,49029,4272,11530,599.34,1157,199,Community transmission
Bangladesh,South-East Asia,467225,2837.01,15235,2293,6675,40.53,227,31,Community transmission
Philippines,Western Pacific,432925,3950.73,11203,1295,8418,76.82,233,26,Community transmission
Pakistan,Eastern Mediterranean,400482,1813.02,20599,2458,8091,36.63,347,66,Clusters of cases
Canada,Americas,378139,10019.01,40584,7861,12130,321.39,609,98,Community transmission
Morocco,Eastern Mediterranean,359844,9749.08,28317,3509,5915,160.25,419,69,Clusters of cases
Saudi Arabia,Eastern Mediterranean,357623,10272.43,1882,263,5907,169.67,96,11,Sporadic cases
Israel,Europe,335919,38809.73,5644,0,2864,330.89,42,0,Community transmission
Switzerland,Europe,329530,38075.61,26138,3760,4537,524.23,607,107,Community transmission
Portugal,Europe,300462,29466.57,31741,2401,4577,448.87,521,72,Clusters of cases
Austria,Europe,283994,31532.47,30645,3464,3196,354.86,788,213,Community transmission
Sweden,Europe,260758,25819.5,34843,3159,6798,673.12,89,24,Community transmission
Nepal,South-East Asia,234756,8057.03,10678,1304,1529,52.48,168,21,Clusters of cases
Hungary,Europe,225209,23312.71,39522,4136,5142,532.28,1028,165,Community transmission
Jordan,Eastern Mediterranean,223617,21916.5,30621,4187,2802,274.62,422,51,Community transmission
Ecuador,Americas,193673,10977.29,7237,988,13501,765.23,237,40,Community transmission
