Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,62662181,8027.118535399523,3881506,463997,1460223,187.05673696733757,69545,6713,
United States of America,Americas,13234551,39983.22,1114897,151674,264808,800.02,10010,862,Community transmission
India,South-East Asia,9462809,6857.09,284969,31118,137621,99.73,3403,482,Clusters of cases
Brazil,Americas,6314740,29708.12,243339,24468,172833,813.1,3650,272,Community transmission
Russian Federation,Europe,2295654,15730.72,181152,26338,39895,273.38,3355,368,Clusters of cases
France,Europe,2179481,33389.98,76971,9670,51965,796.11,3581,198,Community transmission
Spain,Europe,1628208,34824.42,35768,0,44668,955.37,756,0,Community transmission
The United Kingdom,Europe,1617331,23824.22,105282,12155,58245,857.98,3494,215,Community transmission
Italy,Europe,1585178,26217.83,176310,20646,54904,908.08,5081,541,Clusters of cases
Argentina,Americas,1418807,31392.47,48441,5432,38473,851.25,1471,151,Community transmission
Colombia,Americas,1308376,25713.48,59959,8763,36584,718.98,1297,183,Community transmission
Mexico,Americas,1107071,8586.42,65196,6388,105655,819.46,3979,196,Community transmission
Germany,Europe,1053869,12578.41,124736,11169,16248,193.93,2136,125,Clusters of cases
Poland,Europe,985075,26028.09,123744,11482,17029,449.95,3411,283,Community transmission
Peru,Americas,962530,29192.47,12860,2162,35923,1089.51,328,44,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,962070,11454.18,95249,13321,48246,574.41,2991,371,Community transmission
South Africa,Africa,790004,13320.21,20245,2302,21535,363.1,567,58,Community transmission
Ukraine,Europe,732625,16751.93,96936,9946,12327,281.86,1252,114,Community transmission
Belgium,Europe,576503,49743.03,14863,4,16547,1427.74,683,11,Community transmission
Iraq,Eastern Mediterranean,552549,13737.31,15092,2114,12258,304.75,262,34,Community transmission
Chile,Americas,551743,28862.59,9663,1313,15410,806.12,304,54,Community transmission
Indonesia,South-East Asia,538883,1970.15,36773,4617,16945,61.95,943,130,Community transmission
Czechia,Europe,519723,48531.51,27460,1074,8138,759.92,942,84,Community transmission
Netherlands,Europe,518273,30246.68,34213,5578,9336,544.85,457,23,Community transmission
Turkey,Europe,494351,5861.47,47529,6439,13558,160.76,1200,185,Community transmission
Romania,Europe,471536,24511.05,52891,5554,11193,581.83,1146,148,Community transmission
Bangladesh,South-East Asia,464932,2823.08,15172,2525,6644,40.34,228,35,Community transmission
Philippines,Western Pacific,431630,3938.91,11016,1766,8392,76.58,219,19,Community transmission
Pakistan,Eastern Mediterranean,398024,1801.89,21095,2839,8025,36.33,329,40,Clusters of cases
Canada,Americas,370278,9810.73,39775,5468,12032,318.79,577,56,Community transmission
Saudi Arabia,Eastern Mediterranean,357360,10264.87,1871,232,5896,169.36,100,12,Sporadic cases
Morocco,Eastern Mediterranean,356335,9654.01,28807,2532,5846,158.38,450,57,Clusters of cases
Israel,Europe,332192,38379.14,3655,0,2831,327.07,35,0,Community transmission
Switzerland,Europe,317017,36629.79,21075,0,4236,489.45,527,0,Community transmission
Portugal,Europe,294799,28911.19,34041,4093,4427,434.16,530,64,Clusters of cases
Austria,Europe,278182,30887.15,32058,3907,2904,322.44,705,82,Community transmission
Sweden,Europe,243129,24073.93,21082,0,6681,661.53,50,0,Community transmission
Nepal,South-East Asia,233452,8012.27,11164,1474,1508,51.76,171,29,Clusters of cases
Jordan,Eastern Mediterranean,219430,21506.14,31020,5123,2751,269.62,449,57,Community transmission
Hungary,Europe,217122,22475.58,39170,5595,4823,499.26,932,151,Community transmission
Ecuador,Americas,192685,10921.3,6741,568,13461,762.96,236,38,Community transmission
